word_length,pearson_r,p-value
3,-1.0211430293191113e-05,0.422242689045916
4,-3.5980117677532953e-06,0.29904875189152696
5,-5.2410022166567005e-05,0.32180651375281993
6,-9.391788801998907e-06,0.2656224794088169
7,1.8234736987713714e-05,0.2636685844066734
