word_length,corr_score_real,p_value_real,corr_score_baseline,p_value_baseline,z_real,z_baseline,z_stat,p_value_z_stat
3,0.06706566640935128,4.115646702648098e-34,-0.009046600208309177,0.10084389628804918,0.06716648803390377,-0.009046847014623435,0.8588806667871978,0.39040635676481106
4,0.012951585711718755,9.093472100102453e-08,-0.0048756971253528375,0.044252255096371665,0.01295230996636565,-0.004875735761614472,0.3038622908590914,0.761232807716268
5,0.02483560833181814,5.6558812951626805e-39,-0.0009845116783551821,0.6047451811813647,0.024840716485074982,-0.000984511996438995,0.49709372242902994,0.6191229612648494
6,0.0229995719918117,3.6951270191152926e-42,0.0011448909024973125,0.49828241572412,0.023003628719701553,0.0011448914027292413,0.44636804722955914,0.6553314098610412
7,0.03290306901712202,3.2939382372562386e-75,-0.0065481043765189435,0.0002612786925913547,0.03291495048780211,-0.0065481979680816794,0.7823264368651307,0.43402275395035517
