word_length,raw_corr,transformed_corr,p-value
3,0.06538333751227067,0.06547674806460888,1.674646662434313e-32
4,0.013039159701841949,0.013039898748513135,7.444328738087969e-08
5,0.025505828276993596,0.025511361352573952,5.185327242775692e-41
6,0.02308139119342628,0.023085491379283857,1.9033267955859616e-42
7,0.03327362818979042,0.03328591581196931,7.173395250995836e-77
