word_length,word1,word2,cos_dist,edit_dist
3,cup,men,0.4983566963,3.0
3,cup,art,0.4991127261,3.0
3,cup,air,0.50085263465,3.0
3,cup,you,0.50114074105,3.0
3,cup,law,0.5001536408,3.0
3,cup,man,0.50237278065,3.0
3,cup,win,0.49903822600000003,3.0
3,cup,san,0.49983650614999997,3.0
3,cup,red,0.50132440505,3.0
3,cup,jpg,0.5001816893,3.0
3,cup,non,0.5124466162,3.0
3,cup,act,0.49809023914999995,3.0
3,cup,run,0.5060746870999999,2.0
3,cup,per,0.50558124885,3.0
3,cup,how,0.5006675047,3.0
3,cup,few,0.5007558410499999,3.0
3,cup,sea,0.5019184559000001,3.0
3,cup,big,0.4930437905,3.0
3,cup,los,0.49917007805,3.0
3,cup,car,0.49845043845000003,2.0
3,cup,van,0.49996220309999995,3.0
3,cup,bay,0.49801206625000005,3.0
3,cup,low,0.49664618439999997,3.0
3,cup,ten,0.50410226295,3.0
3,cup,get,0.5015120112,3.0
3,cup,lee,0.5054947997,3.0
3,cup,don,0.4958724043,3.0
3,cup,via,0.50127818685,3.0
3,cup,sir,0.49896496225,3.0
3,cup,mid,0.4941775893,3.0
3,cup,iii,0.5060700391999999,3.0
3,cup,bar,0.5002433267999999,3.0
3,cup,com,0.4966425258,2.0
3,cup,our,0.49818498364999997,2.0
3,cup,saw,0.48111122780000004,3.0
3,cup,put,0.50448862185,2.0
3,cup,too,0.4993945595,3.0
3,cup,far,0.49843803175,3.0
3,cup,hit,0.50933140925,3.0
3,cup,tom,0.5025782567,3.0
3,cup,joe,0.4973710965,3.0
3,cup,met,0.5010457732,3.0
3,cup,key,0.49655707875,3.0
3,cup,god,0.49823820575,3.0
3,cup,del,0.50544556705,3.0
3,cup,era,0.49745758055,3.0
3,cup,ice,0.5044598893000001,3.0
3,cup,ran,0.50850772175,3.0
3,cup,sun,0.49818091495000005,2.0
3,cup,oil,0.500604415,3.0
3,cup,von,0.4970131497,3.0
3,cup,pre,0.49969852294999995,3.0
3,cup,pro,0.48314954005,3.0
3,cup,hot,0.49902420335,3.0
3,cup,got,0.4994960609,3.0
3,cup,des,0.5012431426499999,3.0
3,cup,pop,0.50903240025,2.0
3,cup,bbc,0.5002084665,3.0
3,cup,der,0.4994992026,3.0
3,cup,usa,0.49539586615,3.0
3,cup,boy,0.5035451855499999,3.0
3,cup,vol,0.49951167635000004,3.0
3,cup,bob,0.494603926,3.0
3,cup,cut,0.49474571624999997,1.0
3,cup,jim,0.49462576820000004,3.0
3,cup,map,0.49984556935,2.0
