word_length,id,word,rescaling,global_avg_cos_dist,global_avg_norm_edit_dist,local_avg_cos_dist,local_avg_raw_edit_dist
7,3162,economy,ang,0.4983746594714925,0.9076546506453048,0.49806951107455494,6.511421319796955
7,1099,parties,ang,0.49626233303396805,0.811125945705385,0.4949610319069309,5.730964467005077
7,1736,becomes,ang,0.48737601517147106,0.8534045393858477,0.4916648403025681,6.119289340101523
7,6686,patrick,ang,0.49151797557366006,0.8760569648420115,0.49586323222788853,6.258883248730965
7,2268,smaller,ang,0.48828396593772677,0.8523809523809525,0.48769401956332825,6.217005076142132
7,3927,produce,ang,0.49021860935219447,0.8912772585669781,0.4882639316809216,6.408629441624366
7,6266,follows,ang,0.4914399683602063,0.8976412995104585,0.49328090063548835,6.395939086294416
7,5945,colonel,ang,0.49881564679083,0.8549621717846018,0.497964685262214,6.195431472081219
7,484,efforts,ang,0.486523022714808,0.8956831330663105,0.47884987668136175,6.442893401015229
7,296,concept,ang,0.49121332420759595,0.8723186470850022,0.4887824362643404,6.2969543147208125
7,1806,content,ang,0.495743371856597,0.844103248776146,0.49378109491184774,5.958121827411167
7,4533,anthony,ang,0.4881001081102534,0.8940364931019138,0.4941932636021577,6.322335025380711
7,20512,listing,ang,0.500767786046167,0.8773475745438362,0.5024973389975336,6.040609137055838
7,2165,product,ang,0.497220719262621,0.9004895416110369,0.49657426143404754,6.474619289340102
7,3138,disease,ang,0.49814585190114036,0.8529149977748108,0.4965629945190175,6.24238578680203
7,20374,scoring,ang,0.49770958802441573,0.8570093457943925,0.49722260627066367,6.036802030456853
7,2326,traffic,ang,0.496513675883068,0.9116599910992434,0.4941592486899923,6.553299492385787
7,10128,studios,ang,0.497957762910877,0.8822429906542056,0.49826888939192937,6.258883248730965
7,4468,younger,ang,0.4904360090540298,0.8705829995549621,0.48984282637136195,6.274111675126903
7,4478,account,ang,0.4854348253967946,0.8994214508233199,0.48128117502496276,6.416243654822335
7,4027,reports,ang,0.49579401071969553,0.8656430796617712,0.49309626121593614,6.2055837563451774
7,6809,quickly,ang,0.47328213492397775,0.9248331108144194,0.46915233600892414,6.637055837563452
7,2742,applied,ang,0.492940036508883,0.8730752113929684,0.4908627192518503,6.1738578680203045
7,10236,females,ang,0.4994497053800984,0.8349799732977303,0.5000029988821072,6.032994923857868
7,393,defence,ang,0.49930693864732056,0.8867823765020026,0.498861189575732,6.319796954314721
7,0,ability,ang,0.4821656410593611,0.8932799287939476,0.4792632273766647,6.3261421319796955
7,33,adopted,ang,0.49508043074767194,0.8683578104138853,0.49275787430177725,6.299492385786802
7,7621,faculty,ang,0.5004397775548751,0.8941255006675567,0.5014751348987566,6.477157360406092
7,2521,letters,ang,0.4950043811425498,0.8503337783711615,0.4940178246999822,5.969543147208122
7,5353,purpose,ang,0.48959573050231187,0.8794392523364485,0.4859737648899918,6.368020304568528
7,6411,indiana,ang,0.49990858293372087,0.8919003115264797,0.4999602630956318,6.346446700507614
7,2135,percent,ang,0.4931346300159315,0.8458834000890075,0.491057717986059,5.969543147208122
