word_length,id,word,rescaling,global_avg_cos_dist,global_avg_norm_edit_dist,local_avg_cos_dist,local_avg_raw_edit_dist
5,252,class,abs,0.9822000691507476,0.8794852395786974,0.9824552311987886,4.406460296096904
5,1317,right,abs,0.9557644963107789,0.9079246402610889,0.9548813532752356,4.672947510094213
5,4150,short,abs,0.9623275689937072,0.8881204569055037,0.9615278617625841,4.514131897711978
5,1049,often,abs,0.9266759661617133,0.8720427236315087,0.9319289295224764,4.615074024226111
5,5562,track,abs,0.9782450432019627,0.8956653315531821,0.9787249337359353,4.5720053835800805
5,5509,story,abs,0.9600434194702804,0.8930292241507195,0.9576277502142665,4.566621803499327
5,1141,point,abs,0.9611351875765731,0.8586574692182168,0.9593085588672948,4.489905787348587
5,643,force,abs,0.9803589312528038,0.8650645304850914,0.9817984549176313,4.472409152086137
5,551,event,abs,0.9734610091442055,0.8852440290758047,0.9720167528775235,4.633916554508748
5,8417,radio,abs,0.9862242656915577,0.8806067349058003,0.9864695325363392,4.566621803499327
5,1613,video,abs,0.9743219795259501,0.8871458240617119,0.975231825269852,4.586810228802153
5,3473,india,abs,0.9835280964819314,0.9144800474707018,0.98325001497214,4.75235531628533
5,1601,using,abs,0.9355757366263241,0.894870197300104,0.9394194601309555,4.711978465679677
5,6543,match,abs,0.9720681112380374,0.9013469811600652,0.97355916202463,4.60699865410498
5,1951,given,abs,0.942942219379408,0.8718854769322059,0.9437273243056528,4.5060565275908475
5,2034,level,abs,0.9605199013043302,0.877323839192998,0.9604190856393001,4.519515477792732
5,2568,press,abs,0.9701142889016512,0.8750778816199377,0.9711780455177659,4.4522207267833105
5,1662,wrote,abs,0.9382274962036137,0.859992582702863,0.9419290263889637,4.4441453566621805
5,1746,board,abs,0.9669876773845482,0.8686841714879098,0.9674279312718708,4.450874831763122
5,4264,teams,abs,0.975167649068162,0.8649473371903279,0.9751332718473754,4.375504710632571
5,4203,stage,abs,0.9723722174748598,0.8593027740691291,0.9727089431219382,4.457604306864065
5,6453,japan,abs,0.9836101266424612,0.8934831627354992,0.9832505380606998,4.602960969044415
5,15443,coach,abs,0.9882539669858877,0.8892048657469218,0.988202849437685,4.523553162853298
5,2945,chief,abs,0.9700338356417134,0.8794733719032786,0.9711625930678331,4.557200538358008
5,686,goals,abs,0.9885637520380998,0.8612772585669781,0.9896949033816957,4.347240915208614
5,235,china,abs,0.9833194453439253,0.8872274143302181,0.9835246999095558,4.590847913862719
5,949,media,abs,0.9589800736983801,0.8968209464471147,0.9601735079234185,4.639300134589502
5,8838,grand,abs,0.9789817367772897,0.8651476042130248,0.9791879495026917,4.467025572005384
5,1771,chart,abs,0.9850399835778506,0.8796795727636849,0.9858153314967698,4.504710632570659
5,1020,night,abs,0.9386215174331153,0.9237353508381546,0.9369620867333782,4.7415881561238225
5,703,green,abs,0.9786442975117757,0.8637309004598726,0.9790501358475101,4.492597577388963
5,750,human,abs,0.9590662474912149,0.9057320872274144,0.9589733981078061,4.705248990578735
5,1121,peter,abs,0.9437092713544237,0.8580269989615783,0.9377763354675639,4.476446837146702
5,10098,songs,abs,0.9647329319849532,0.867497403946002,0.9655928829281292,4.380888290713324
5,2036,light,abs,0.971622838167757,0.9187672452158434,0.9718438533422612,4.716016150740242
5,2251,seven,abs,0.9414311143851402,0.858013647826732,0.9455740270156123,4.43606998654105
5,4758,debut,abs,0.9647892638578193,0.9153908915591159,0.9639100187515478,4.703903095558546
5,553,every,abs,0.957464482494268,0.9017593828808782,0.9569000695356661,4.654104979811574
5,186,books,abs,0.9682766106674455,0.9019878356326955,0.9688325320063257,4.450874831763122
5,4078,route,abs,0.9898200028719626,0.8524091381100728,0.989494952418708,4.438761776581426
5,11188,saint,abs,0.9892194228680063,0.8416481234238243,0.9888612619899056,4.39300134589502
5,9865,medal,abs,0.9835645941690654,0.8984735202492211,0.9837959604215344,4.636608344549125
5,2479,front,abs,0.9575237644604363,0.8718439400682392,0.9551823582511441,4.528936742934051
