word_length,id,word,rescaling,global_avg_cos_dist,global_avg_norm_edit_dist,local_avg_cos_dist,local_avg_raw_edit_dist
6,2563,points,none,0.9971598796731463,0.8543465361222371,0.9966399498564593,5.293062200956938
6,658,france,none,0.9971683968257631,0.859301290609702,0.9972818977050241,5.358851674641149
6,1262,region,none,0.9984279393281933,0.8786307669485239,0.9986751035050239,5.385167464114833
6,1407,social,none,0.9937153938818379,0.8774217475152055,0.989967058232177,5.388755980861244
6,1116,period,none,0.9788943695200935,0.8611481975967958,0.9738412181600477,5.251196172248804
6,1307,result,none,0.9824382343812461,0.8916777926123721,0.9789422969361243,5.4605263157894735
6,1323,robert,none,0.9767717938687851,0.8673490580032636,0.9763234718811006,5.33133971291866
6,206,canada,none,0.999729946273458,0.8882361667408397,1.0004543350057415,5.482057416267943
6,1538,thomas,none,0.9969034378801869,0.890928645601543,0.9952092134869618,5.5047846889952154
6,3117,design,none,0.9919969749458568,0.8886737872719181,0.9931594194547848,5.435406698564593
6,1142,police,none,0.9993500910969783,0.8653686396677049,1.0003144498960526,5.314593301435407
6,847,joined,none,0.9895765037476324,0.845267764426643,0.9851667747764353,5.15311004784689
6,1652,worked,none,0.995096270176137,0.8631211986352173,0.9906856970224881,5.185406698564593
6,4598,battle,none,0.9942159862531463,0.8768283637442517,0.9928048800606459,5.37799043062201
6,152,become,none,0.9215520109880061,0.8877243732383918,0.9173393304194977,5.498803827751196
6,3474,indian,none,0.9996640926773208,0.8987242248924492,0.9992500249876795,5.545454545454546
6,3394,health,none,1.0003292918295639,0.8802699896157841,1.0008602887954545,5.510765550239235
6,1765,centre,none,1.0008808074761995,0.8614152202937251,1.0037195817917466,5.301435406698564
6,914,little,none,0.9624844809870716,0.8910844088414182,0.9690223932272728,5.446172248803828
6,973,modern,none,0.9753554113256385,0.8679498590713545,0.9727288581255981,5.320574162679426
6,2291,summer,none,0.995305404088567,0.8893265094199674,0.9949835647226076,5.283492822966507
6,4154,signed,none,0.9960474823899688,0.8616525738021065,0.9906508200813398,5.214114832535885
6,5184,mother,none,0.9697436998498441,0.8682539682539683,0.9783398745192583,5.172248803827751
6,3778,opened,none,0.9918532084470405,0.8697003411956683,0.9912477291813396,5.2990430622009566
