word_length,id,word,rescaling,global_avg_cos_dist,global_avg_norm_edit_dist,local_avg_cos_dist,local_avg_raw_edit_dist
5,553,every,norm,0.48767407586781936,0.9017593828808782,0.48796558149811575,4.654104979811574
5,186,books,norm,0.49910624716671337,0.9019878356326955,0.4987633175587483,4.450874831763122
5,4078,route,norm,0.4992546269962305,0.8524091381100728,0.49982930923950203,4.438761776581426
5,11188,saint,norm,0.5002830675092057,0.8416481234238243,0.5003255937471736,4.39300134589502
5,9865,medal,norm,0.5004113386562773,0.8984735202492211,0.5006136485204576,4.636608344549125
5,2479,front,norm,0.49004677267551405,0.8718439400682392,0.48883473967254376,4.528936742934051
5,90,areas,norm,0.49205974102934585,0.8372526331404835,0.4926552932498654,4.30820995962315
5,728,henry,norm,0.5001904434294859,0.8936404094348019,0.5007118367289367,4.592193808882907
5,7011,smith,norm,0.49928445516929915,0.8991025070464324,0.4992913758586137,4.624495289367429
5,1425,space,norm,0.4994319501846262,0.863883696780893,0.4997271037020188,4.4522207267833105
5,244,civil,norm,0.5012185146469782,0.9056579142560452,0.5028421626975773,4.631224764468372
5,5691,actor,norm,0.4977921710623053,0.897454383622608,0.49777529305309554,4.699865410497981
5,1459,style,norm,0.4929376881855608,0.8882005637145824,0.49489564284825033,4.588156123822342
5,1015,never,norm,0.4624118198753583,0.8783073727933541,0.4671043118965679,4.535666218034994
5,2863,brown,norm,0.49921487999049846,0.8979498590713545,0.4992874929914536,4.6016150740242265
5,1819,cross,norm,0.49917408673962615,0.8794511200118676,0.49919902382375503,4.409152086137281
5,1458,study,norm,0.4895523213737539,0.9194540869307224,0.4942437618843876,4.6796769851951545
5,1093,paris,norm,0.49940749616160435,0.8431597685803294,0.4992692875273217,4.294751009421265
5,2086,model,norm,0.4979640724462461,0.8706631063640409,0.49779050890915205,4.496635262449529
5,4912,films,norm,0.4999647762170249,0.8973490580032637,0.501193467888358,4.499327052489906
5,8435,score,norm,0.49723229279559183,0.8622533748701974,0.49867165758277254,4.449528936742934
5,4281,texas,norm,0.49943970532780374,0.8862364634327251,0.49977691020309556,4.476446837146702
5,2181,range,norm,0.4963495390723676,0.8413514315383475,0.49677162840033645,4.3943472409152085
5,487,eight,norm,0.48544895542333333,0.9121243139000149,0.48766887207012116,4.720053835800807
5,5651,woman,norm,0.4863543003511682,0.8905963506898086,0.4840535479801481,4.608344549125168
