word_length,raw_corr,transformed_corr,p-value
3,0.017362710185464727,0.01736445524343228,0.0016369758466370794
3,0.023843300489424304,0.023847820360373573,1.5255224072812134e-05
3,0.018496028906484677,0.0184981385223769,0.0007941339474986267
3,0.021209983887590052,0.021213165278287593,0.00011947772310108355
3,0.011142234585292534,0.011142695720190896,0.04329204645775092
3,0.01954335705628281,0.019545845774841183,0.00039286305788328987
3,0.013317626460523129,0.0133184138787303,0.015715041114589882
3,0.013493576348435654,0.01349439539276127,0.014389795948556227
3,0.022139561651087714,0.022143180025879866,5.92323678629153e-05
3,0.020955705590533186,0.020958773906367183,0.00014407690534225766
3,0.02530715874295273,0.0253125634958664,4.420064287645295e-06
3,0.009266818454123499,0.009267083727147012,0.09281757407536892
3,0.023401880952195375,0.023406154354492476,2.1871171730150555e-05
3,0.01923558116865017,0.01923795413244581,0.0004848374799663959
3,0.026566023128924088,0.026572275465389504,1.4426902440489282e-06
3,0.019924072505755723,0.01992670954470007,0.00030162414350722293
3,0.017895819566728248,0.017897730374442103,0.0011706066772401266
3,0.02072344263704024,0.02072641003902364,0.00017064543332151013
3,0.022399497261267096,0.022403244611861682,4.8444127906053884e-05
3,0.00888089021975864,0.008881123710036779,0.10724071825761163
3,0.024346830532362328,0.024351642919343757,1.0038921074755339e-05
3,0.015808061187802307,0.015809378169360545,0.0041409704016165585
3,0.01696752417300276,0.01696915275340074,0.002087114881234678
3,0.017211424258154254,0.01721312409162387,0.001797536386302472
3,0.021295979950457882,0.021299200202258,0.00011209600467132328
3,0.01838710014306105,0.01838917270051714,0.0008527782735546561
3,0.023913909882534803,0.02391847003709622,1.439277079503416e-05
3,0.023365295149712625,0.023369548536230092,2.2527831982248624e-05
3,0.016475999583946813,0.01647749067720282,0.0028045763573858284
3,0.020084613649381976,0.02008731495874134,0.0002694510844254983
3,0.014785292546316452,0.014786370066663699,0.007325112891213935
3,0.017676359828752645,0.01767820118862692,0.001345308548411173
3,0.029075154007785542,0.029083351201081863,1.332279785617404e-07
3,0.018010431901985806,0.018012379662979076,0.0010879405592678104
3,0.011902204718051349,0.011902766797762122,0.03087130746748587
3,0.02778393925996075,0.027791091818545915,4.6547064752756866e-07
3,0.014592165997773226,0.014593201839780981,0.008129137336323436
3,0.021294438862344077,0.02129765841496533,0.00011222441700997722
3,0.027899077374835338,0.027906319252045494,4.17239563498922e-07
3,0.017331539316647868,0.017333274991766214,0.0016689363071621113
3,0.021521408501631856,0.021524732122927586,9.473461278972706e-05
3,0.022313855536526393,0.02231756006013192,5.1774023591416156e-05
3,0.025707121329972292,0.025712786478988284,3.1139135175713476e-06
3,0.020510977688799253,0.020513854739237544,0.00019892466368625044
3,0.011039271095168427,0.011039719563414348,0.04526262253077913
3,0.02196834044902689,0.02197187550486234,6.754174915216665e-05
3,0.0138808973602541,0.013881788983917075,0.01181442441088795
3,0.01703222317557554,0.01703387045913511,0.0020063931228265007
3,0.025112672787037507,0.02511795385715504,5.231220520646614e-06
3,0.021580612613152264,0.021583963744358295,9.061512314668566e-05
3,0.01557065564310783,0.015571914170369235,0.004740570290233486
3,0.026406652145866634,0.026412792600604355,1.6670243385604955e-06
3,0.02652586544898438,0.0265320894668873,1.4963128941487963e-06
3,0.013187810769516542,0.01318857538341546,0.016760499121468625
3,0.02259891757847942,0.022602765930287996,4.145969806661671e-05
3,0.02190918204526935,0.021912688613889696,7.066069880026663e-05
3,0.01906491629499804,0.01906722664714202,0.0005441301911921973
3,0.019729131565917137,0.019731691943965263,0.0003455254811760358
3,0.008542802391971473,0.008543010217476419,0.12128578560486303
3,0.026117559815854514,0.026123500744496403,2.1622535465105418e-06
3,0.020325354902725377,0.02032815453393267,0.00022717906288914695
3,0.02506161350335371,0.025066862418309417,5.466728728181112e-06
3,0.01116200099592372,0.011162464589471684,0.042922159388917115
3,0.02835309696848779,0.028360698302243647,2.6993697157714635e-07
3,0.02565048151157215,0.02565610928758519,3.2732788343221543e-06
3,0.016376987643461353,0.016378452013064076,0.002973906819479196
3,0.011576349391809685,0.011576866556118908,0.03576206097095138
3,0.024658669469991124,0.024663669195327254,7.716018548095345e-06
3,0.02576575589554577,0.025771459907761578,2.9567872900336535e-06
3,0.014684574630000422,0.014685630277813977,0.00773505592654921
3,0.018270932573715353,0.018272966091100046,0.0009197275194254803
3,0.029782929771760558,0.029791740508400957,6.560899684269699e-08
3,0.01701445332143431,0.017016095453902744,0.002028273437912643
3,0.02635508648453409,0.026361191027131567,1.746530319604946e-06
3,0.014837770405647724,0.014838859441202893,0.0071193354379396
3,0.020440868964856942,0.020443716608912935,0.0002091841724288314
3,0.014839591086719752,0.014840680523252506,0.007112290217221719
3,0.03623907962650445,0.036254956047886144,4.8756684844614155e-11
3,0.01940238522257018,0.01940482046512522,0.0004327564466390493
3,0.022234359265779127,0.022238024328814186,5.5058120185322944e-05
3,0.029581372820654813,0.029590005822278033,8.040420392084988e-08
3,0.029540454066556872,0.029549051280145858,8.377972886610047e-08
3,0.011728580097336943,0.011729117934622571,0.033400583677913216
3,0.011825936034482483,0.011826487377357506,0.03196135474141177
3,0.028149365963309234,0.028156804562222908,3.2845861591841455e-07
3,0.024102071533193086,0.024106740204151274,1.2315698073604802e-05
3,0.01778582631288936,0.01778770209904628,0.0012553636254745318
3,0.01321461705958013,0.013215386345882015,0.01653974772511919
3,0.006594130464901489,0.006594226043945477,0.23171147536036232
3,0.016352345707076946,0.016353803475743056,0.0030174744007119693
3,0.02114591085400718,0.02114906349468314,0.0001252730363170049
