word_length,raw_corr,transformed_corr,p-value
3,0.012823372882026349,0.012824075838460125,0.020028421447667654
3,0.018213691580150515,0.018215706042408894,0.000954478091231837
3,0.017505917805127467,0.01750770640529066,0.0014972526218744843
3,0.012835833386923567,0.012836538394678264,0.019908110996613073
3,0.0160340399236331,0.016035414201733975,0.0036350292637374678
3,0.020823526691071924,0.020826537301824245,0.00015867648975652042
3,0.01761713893135749,0.01761896184362248,0.0013964110309669065
3,0.02797929497757621,0.02798659952145726,3.8652582377568524e-07
3,0.021748604327862242,0.021752034344284434,7.98278323211495e-05
3,0.019678286285529922,0.019680826915924647,0.0003579215756139243
3,0.01449158271131563,0.014492597278783359,0.00857842040151502
3,0.021623982713935213,0.021627354093656542,8.770538940726573e-05
3,0.024584801803891793,0.02458975672124499,8.214624658775755e-06
3,0.007739196260662089,0.007739350779677997,0.16042446873735247
3,0.010202871338202,0.010203225395134487,0.06424172244142522
3,0.014552951990839691,0.014553979503607671,0.008301730233276718
3,0.028761057616053652,0.02876899192165804,1.8150384579943526e-07
3,0.013047079703568592,0.013047820097843306,0.017962373522736504
3,0.019216218224119334,0.01921858402804158,0.0004912480367063668
3,0.009471231675484425,0.009471514893907917,0.085834079578302
3,0.016794977375112815,0.016796556769260576,0.0023171749788102906
3,0.012313850509858821,0.012314472953292917,0.025522960156082113
3,0.018649905741484438,0.018652068456599002,0.0007176484060315059
3,0.02115609279450437,0.021159249992261667,0.0001243347194789074
3,0.020507045380759398,0.020509920776496028,0.00019948736080113754
3,0.011536956368018375,0.011537468270436162,0.036395844462852746
3,0.013872631230112828,0.01387352126170524,0.011864808156794394
3,0.010152229931506693,0.010152578742319566,0.06557566638342352
3,0.016574451195258473,0.016575969181406774,0.002644978460993379
3,0.01263059352836637,0.012631265253495746,0.02197225205397631
3,0.01911524953016474,0.019117578232011163,0.0005259760511620483
3,0.01333131437722061,0.013332104226032954,0.015608222566489962
3,0.027136690382133517,0.02714335447946097,8.541499345778058e-07
3,0.012976877910041413,0.012977606416297036,0.01858965436205351
3,0.017628381276380202,0.01763020768117144,0.0013865743109110597
3,0.02431337071573709,0.024318163284318333,1.0324551284217574e-05
3,0.02258038112860789,0.02258422001657975,4.206626624903111e-05
3,0.012089941536919408,0.012090530637482002,0.028323214104496598
3,0.012626129801664205,0.012626800814824903,0.0220191401773143
3,0.009776852484182579,0.009777164014875741,0.07619099899489927
3,0.010367668858808464,0.010368040351357796,0.06005500506503725
3,0.020015972874997758,0.02001864657866212,0.00028279197377041837
3,0.017172314528929897,0.017174002799690877,0.0018413352998492077
3,0.018194412730066827,0.018196420801436533,0.0009664532597126993
3,0.013268964450231228,0.013269743267762186,0.01610001696219635
3,0.007119122511176684,0.007119242785065177,0.19664103922078247
3,0.011717059765128709,0.011717596019020636,0.03357450433481512
3,0.021344355304612515,0.021347597555417076,0.0001081348415355905
3,0.011747368113437486,0.011747908539693912,0.03311859746821437
3,0.018123029018710213,0.01812501354428172,0.0010120154452554172
3,0.019751475033066093,0.0197540441213021,0.00034020615505800443
3,0.01309228820235123,0.013093036320316786,0.01756830238011602
3,0.012926182652580023,0.012926902653667301,0.019054475891222115
3,0.018087407079614048,0.018089379924519686,0.0010354881380845182
3,0.020309096272257104,0.02031188918929803,0.00022982549413755394
3,0.0187374028779796,0.018739596179950337,0.0006772683351063617
3,0.011804536735793656,0.011805085090912722,0.03227306231111872
3,0.02276641151266519,0.02277034608540429,3.6342610722920144e-05
3,0.015061463188258429,0.015062602229256336,0.006299184329380147
3,0.00891705385848023,0.008917290212849274,0.10581797446834246
3,0.019154746030760242,0.01915708919947906,0.0005121274458086579
3,0.01244271145496665,0.012443353645916068,0.0240225853867485
3,0.011164779087835836,0.011165243027636315,0.042870387933587335
3,0.009908757954760608,0.009909082265992745,0.07231141798425557
3,0.013704686420368418,0.013705544514631872,0.012930558732619215
3,0.02129342745496759,0.02129664654877675,0.00011230876870016194
3,0.01937163373288593,0.019374057412956613,0.0004419470817186212
3,0.016439286204130616,0.016440767350722266,0.0028663089042778914
3,0.02883861266121291,0.028846611346775228,1.682112153478609e-07
3,0.015475885469298942,0.015477121154033352,0.005001111733917373
3,0.015998782033996545,0.01600014726522804,0.0037100727337339864
3,0.01139248505013632,0.011392977960522195,0.03880275320886717
3,0.012650906441652943,0.012651581413072904,0.021759975399125785
3,0.01872734438893578,0.018729534160125343,0.0006818004927519495
3,0.021853231257339147,0.021856711024591365,7.373549827284475e-05
